cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Colorado,CO,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,7,5850935,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Connecticut,CT,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,8,3607701,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Connecticut,CT,2021,Actual,600108000,Highways,116.734,514081587.1982456,1,0,Other,2017,8,3606607,166.3912924252629,142.5388425182576
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Connecticut,CT,2022,Actual,425465000,Highways,128.921,330019934.6886853,1,0,Other,2017,8,3617925,117.5991763234451,91.21801438357215
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Delaware,DE,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,10,989955,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Delaware,DE,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,10,1005062,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Delaware,DE,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,10,1020625,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,District of Columbia,DC,2020,Actual,66000,Highways,106.515,61963.10378819884,1,0,Other,2017,9,689545,0.09571529051766,0.089860855764597
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,District of Columbia,DC,2021,Actual,5599000,Highways,116.734,4796374.663765484,1,0,Other,2017,9,669256,8.36600643102191,7.166726430193354
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,District of Columbia,DC,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,9,676725,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Florida,FL,2020,Actual,492083000,Highways,106.515,461984696.9910341,1,0,Other,2017,11,21538192,22.84699662812923,21.44955792905152
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Florida,FL,2021,Actual,564252000,Highways,116.734,483365600.4248976,1,0,Other,2017,11,21831949,25.84524176013786,22.14028625776368
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Florida,FL,2022,Actual,602992000,Highways,128.921,467722093.3750126,1,0,Other,2017,11,22379312,26.94417058040033,20.89975301184472
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Georgia,GA,2020,Actual,162568000,Highways,106.515,152624512.9793926,1,0,Other,2017,12,10713755,15.17376494049005,14.24566017977754
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Georgia,GA,2021,Actual,150978000,Highways,116.734,129335069.4741892,1,0,Other,2017,12,10792060,13.98972948630753,11.98428006091415
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Georgia,GA,2022,Actual,202325000,Highways,128.921,156937194.0956089,1,0,Other,2017,12,10931805,18.50792252514566,14.35601843388251
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Hawaii,HI,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,14,1455252,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Hawaii,HI,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,14,1447029,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Hawaii,HI,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,14,1440359,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Idaho,ID,2020,Actual,26272000,Highways,106.515,24665070.64732667,1,0,Other,2017,16,1839140,14.28493752514762,13.41119797694937
